objectid,wd19cd,wd19nm,wd19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
7428,N08000528,Newtownstewart, ,47558,546282,-7.46992,54.68726,87871290.5387879,47957.2298705728
7429,N08000529,Northland, ,59437,580773,-7.32707,55.004051,1410243.33843042,5210.64928875605
7430,N08000530,Park, ,71638,564693,-7.11873,54.86832,121463971.797322,62686.8615512789
7431,N08000531,Shantallow, ,60646,583261,-7.3112,55.027142,781116.273131695,3690.79234542597
7432,N08000532,Shantallow East, ,61050,584135,-7.30594,55.03524,1830844.57862135,5897.53776640467
7433,N08000533,Sheriff's Mountain, ,56401,579112,-7.37234,54.98711,21610832.6897494,23705.0200153837
7434,N08000534,Sion Mills, ,47660,554398,-7.47816,54.75993,24015632.8182912,26150.6430175941
7435,N08000535,Skeoge, ,58875,584440,-7.34019,55.03648,6250279.82814313,11517.8027426974
7436,N08000536,Slievekirk, ,57223,572766,-7.35197,54.930901,72251234.9848537,51639.6721847038
7437,N08000537,Springtown, ,58877,582374,-7.3377,55.018002,1650901.04222807,6311.09934136222
7438,N08000538,Strabane North, ,49352,562406,-7.46167,54.83276,3797046.62066652,9730.53199968996
7439,N08000539,Strabane West, ,48788,561270,-7.46903,54.822201,1352345.32755097,5315.45274613288
7440,N08000540,Victoria, ,59781,577863,-7.31826,54.978249,3527229.42438489,10543.9570482145
7441,N08000601,Ballinamallard, ,38254,515111,-7.57531,54.401871,38618712.7879857,35374.7285365234
7442,N08000602,Belcoo and Garrison, ,10133,519179,-8.0115,54.4175,203241448.988575,93828.690925807
7443,N08000603,Belleek and Boa, ,32603,531713,-7.68254,54.546299,195573163.244135,101438.247635956
7444,N08000604,Beragh, ,62607,531150,-7.22005,54.56213,66048736.3332112,45057.4277310462
7445,N08000605,"Boho, Cleenish and Letterbreen", ,24551,507922,-7.77627,54.327679,140007922.749146,71675.6927270474
7446,N08000606,Brookeborough, ,52364,507314,-7.34981,54.34193,123587571.413904,66169.8821234313
7447,N08000607,Camowen, ,59616,534846,-7.27039,54.593208,4803668.11860386,11311.3684795633
7448,N08000608,Castlecoole, ,35918,508853,-7.60347,54.344231,6634897.79919311,13586.2254476127
7449,N08000609,Coolnagard, ,56779,534604,-7.31383,54.589119,2178108.90152989,6945.73375554772
7450,N08000610,Dergmoney, ,58121,534731,-7.29329,54.591171,2468924.33245381,7475.84629199388
7451,N08000611,Derrygonnelly, ,22482,518506,-7.82134,54.42078,162254483.088923,74490.1611236935
7452,N08000612,Derrylin, ,39728,489974,-7.52245,54.178051,106678924.730063,51015.9149462932
7453,N08000613,Donagh, ,46949,495869,-7.41923,54.235809,108966936.73692,60426.1175825574
7454,N08000614,Dromore, ,51166,528721,-7.39333,54.53265,45038462.61927,45992.9096233925
7455,N08000615,Drumnakilly, ,65835,537547,-7.17761,54.621529,47441928.2936458,44748.0449491978
7456,N08000616,Drumquin, ,41350,537932,-7.55555,54.608189,158805396.767923,79590.3666189362
7457,N08000617,Ederney and Kesh, ,32259,527246,-7.68226,54.5061,76102565.1616036,43919.5852985409
7458,N08000618,Erne, ,33838,509901,-7.6366,54.352119,3398484.8561224,8986.14713307874
7459,N08000619,Fairy Water, ,52374,539023,-7.38693,54.62566,110256652.31294,59221.9207857706
7460,N08000620,Fintona, ,53136,522643,-7.35588,54.479622,61452378.2865216,43077.8135307181
7461,N08000621,Florence Court and Kinawley, ,26341,497336,-7.73568,54.234329,164113800.915675,71772.5041318247
7462,N08000622,Gortin, ,60411,545100,-7.27003,54.685501,91515875.7162257,51823.586582266
7463,N08000623,Gortrush, ,56290,536262,-7.3233,54.60363,3299798.77176914,9724.56374174447
7464,N08000624,Irvinestown, ,35269,523314,-7.63115,54.47311,42596377.9731366,33702.9930561793
7465,N08000625,Killyclogher, ,59144,536804,-7.27994,54.610409,1408651.7642339,6536.39694339853
7466,N08000626,Lisbellaw, ,38241,507421,-7.56617,54.333069,52515336.2448526,38377.5768306323
7467,N08000627,Lisnarrick, ,31800,519019,-7.67908,54.432201,75111635.2797816,48542.2581525943
7468,N08000628,Lisnaskea, ,45216,498257,-7.44852,54.255981,5535624.22543876,10285.8700761977
7469,N08000629,Maguiresbridge, ,42983,502296,-7.48745,54.290562,89017640.1618423,52557.3758333226
7470,N08000630,Newtownbutler, ,51025,487723,-7.34752,54.16571,90977134.800804,78061.3492423458
7471,N08000631,Newtownsaville, ,62112,524073,-7.21957,54.49847,81860543.819817,59998.2837979977
7472,N08000632,Owenkillew, ,70858,546073,-7.10972,54.701141,187417974.782102,67668.6162304012
7473,N08000633,Portora, ,32754,509627,-7.65286,54.348888,3888343.17969292,12682.8170298734
7474,N08000634,Rosslea, ,59247,496129,-7.23164,54.24646,95667932.3916992,47997.3482136352
7475,N08000635,Rossorry, ,32023,508500,-7.66266,54.33828,5869769.20928235,13475.4345580556
7476,N08000636,Sixmilecross, ,71782,528820,-7.07613,54.54731,93105881.2403321,56019.0352232354
7477,N08000637,Strule, ,57333,536429,-7.30742,54.605831,2286130.5257614,7479.44237823018
7478,N08000638,Tempo, ,43819,513106,-7.48757,54.387852,90155267.8607086,52962.7991542218
7479,N08000639,Termon, ,75401,536474,-7.02885,54.61816,84732509.468809,49215.9614388028
7480,N08000640,Trillick, ,45240,520769,-7.47495,54.457401,88467806.7102313,45831.9092565295
7481,N08000701,Ballinderry, ,126944,523940,-6.22131,54.53632,34154285.4212319,29529.5875363211
