objectid,wd19cd,wd19nm,wd19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
706,E05000925,Rainford, ,348751,400235,-2.77399,53.496319,30971426.3492795,27415.462825772
707,E05000926,Rainhill, ,349314,391004,-2.76401,53.41341,6619368.62284139,13149.7650388327
708,E05000927,Sutton, ,352976,392793,-2.70919,53.429829,2294071.4057849,7785.99841823947
709,E05000928,Thatto Heath, ,350606,393116,-2.74491,53.43251,5839920.22848571,11932.6926502372
710,E05000929,Town Centre, ,351208,394895,-2.73612,53.448559,5846826.23360287,13302.3313263898
711,E05000930,West Park, ,349567,394769,-2.76081,53.447269,2487024.24226092,8927.96684199244
712,E05000931,Windle, ,349844,396550,-2.75692,53.463299,2980595.28487456,8713.43504968669
713,E05000932,Ainsdale, ,330510,412099,-3.05155,53.600842,10371745.0252818,17351.1887347783
714,E05000933,Birkdale, ,333046,414534,-3.01375,53.623051,3063184.42833591,8297.73289419374
715,E05000934,Blundellsands, ,330806,399928,-3.04438,53.491501,9206595.27840639,13157.1315203959
716,E05000935,Cambridge, ,334744,419335,-2.9891,53.666409,27977522.8815798,31263.0246262731
717,E05000936,Church, ,332033,397631,-3.02539,53.47102,4033921.79236453,9161.51894853459
718,E05000937,Derby, ,334886,395495,-2.98197,53.452179,2196192.23206394,7184.79519807641
719,E05000938,Duke's, ,332219,415872,-3.02655,53.634972,18714439.7637477,20303.5036449227
720,E05000939,Ford, ,333901,398354,-2.99741,53.477749,3337307.15633792,9176.10050221124
721,E05000940,Harington, ,329709,408904,-3.06293,53.572021,21678835.6119827,26449.0722386099
722,E05000941,Kew, ,334808,415639,-2.98735,53.633209,4057560.37230039,8410.52768116849
723,E05000942,Linacre, ,332975,395629,-3.01077,53.453152,7180797.20836161,12117.6696738048
724,E05000943,Litherland, ,334217,396953,-2.99235,53.465199,1960076.86876839,8311.02994721532
725,E05000944,Manor, ,332505,401775,-3.01917,53.50832,15652876.4464094,27781.8044669859
726,E05000945,Meols, ,336672,419701,-2.96,53.669941,9785733.87196033,18590.5903040367
727,E05000946,Molyneux, ,338924,400312,-2.92211,53.49596,12580895.8466593,25444.4718473088
728,E05000947,Netherton and Orrell, ,335723,398104,-2.96991,53.475731,4259655.46708116,12557.0006601735
729,E05000948,Norwood, ,335814,416670,-2.97235,53.642601,3642022.02253562,9053.46033871938
730,E05000949,Park, ,336618,402984,-2.95741,53.519699,13959840.3204514,24490.912340104
731,E05000950,Ravenmeols, ,330973,407590,-3.04355,53.560379,18646827.4148151,32358.2914540541
732,E05000951,St Oswald, ,335633,399751,-2.9716,53.49052,2941080.62687775,9865.23732049117
733,E05000952,Sudell, ,338607,402137,-2.92725,53.512321,5290128.84651874,10750.3886751406
734,E05000953,Victoria, ,332132,399296,-3.02426,53.485989,2218595.69159287,7370.97196440513
735,E05000954,Bebington, ,331811,384396,-3.02587,53.352051,7291296.18119551,12779.8020559007
736,E05000955,Bidston and St James, ,329880,389893,-3.05609,53.401199,6965184.211879,14208.1905179886
737,E05000956,Birkenhead and Tranmere, ,332115,388260,-3.02213,53.38681,4504966.79198659,10920.8201492483
738,E05000957,Bromborough, ,334717,383470,-2.98203,53.34409,13911799.012823,15837.7596551782
739,E05000958,Clatterbridge, ,331396,381821,-3.03154,53.32885,26093496.7662199,25034.8701798057
740,E05000959,Claughton, ,328935,388291,-3.06994,53.386669,4274035.34298852,12186.8372605695
741,E05000960,Eastham, ,336253,380582,-2.95838,53.318321,16784362.6971985,18098.7469139029
742,E05000961,"Greasby, Frankby and Irby", ,325298,386264,-3.12413,53.36795,10015319.574958,16721.8921971311
743,E05000962,Heswall, ,326371,381625,-3.10693,53.326408,24122482.7861983,21972.7180090561
744,E05000963,Hoylake and Meols, ,322887,388781,-3.16098,53.390228,46699643.7912352,33065.1967263926
745,E05000964,Leasowe and Moreton East, ,327234,390900,-3.09611,53.409889,9360221.73576315,14338.4469792415
746,E05000965,Liscard, ,331022,391952,-3.03937,53.419849,2839017.55393682,10013.9389328216
747,E05000966,Moreton West and Saughall Massie, ,325345,389853,-3.12428,53.400211,8044885.74584355,15365.0064195359
748,E05000967,New Brighton, ,330669,393475,-3.04502,53.433491,4736292.92359625,10201.2576908102
749,E05000968,Oxton, ,330358,387490,-3.04838,53.379662,3204815.34114935,8784.86541300595
750,E05000969,Pensby and Thingwall, ,327134,384806,-3.09621,53.35511,10930904.431025,18464.9952758858
751,E05000970,Prenton, ,330283,386381,-3.04926,53.36969,3810124.18991052,9154.84403535304
752,E05000971,Rock Ferry, ,332689,386821,-3.0132,53.373951,5243998.09184352,12876.2844130502
753,E05000972,Seacombe, ,331263,390890,-3.03551,53.410339,4642411.67726641,10450.129302052
754,E05000973,Upton, ,327471,387918,-3.09186,53.383121,4251589.19410344,9780.23527433906
755,E05000974,Wallasey, ,328966,392782,-3.07049,53.42704,6978928.61629886,17557.9646832495
756,E05000975,West Kirby and Thurstaston, ,323215,385878,-3.15534,53.364182,28540270.3149414,30229.8010915397
757,E05000976,Central, ,435247,406419,-1.46945,53.553242,4228909.17724079,10262.4713171736
758,E05000977,Cudworth, ,439130,408942,-1.41053,53.575642,8510937.13922392,17366.2437735655
759,E05000978,Darfield, ,441799,404896,-1.37076,53.53907,17817841.9641746,23551.5350174992
760,E05000979,Darton East, ,432552,409800,-1.50977,53.583801,7343089.14177756,15269.9892585509
761,E05000980,Darton West, ,430731,409233,-1.53733,53.578812,11510781.8959264,21692.8343656327
762,E05000981,Dearne North, ,446070,405467,-1.30624,53.54385,6881071.86529982,15733.3041365863
763,E05000982,Dearne South, ,445371,403331,-1.31709,53.524712,8726462.77008745,14444.9945679547
764,E05000983,Dodworth, ,431468,405712,-1.52656,53.547119,10450105.2690114,18105.2302565891
765,E05000984,Hoyland Milton, ,438159,400942,-1.42616,53.503811,7060701.5376995,15161.6324846147
766,E05000985,Kingstone, ,433921,405849,-1.48952,53.548199,2795893.77603879,10018.8184686043
767,E05000986,Monk Bretton, ,437463,409941,-1.43558,53.58474,7477649.03701411,19841.7262664058
768,E05000987,North East, ,441141,409833,-1.38004,53.583488,21048748.4051397,27518.6528392344
769,E05000988,Old Town, ,434291,407536,-1.48375,53.563339,3575943.65476381,11315.2073476754
770,E05000989,Penistone East, ,430225,403069,-1.54557,53.523441,88376823.1878102,73075.2655635569
771,E05000990,Penistone West, ,418795,402678,-1.71799,53.520451,79469541.7454661,52105.7925225751
